16 10 2017, 0.00 ,17.08
17 10 2017, 0.00 ,19.29
19 10 2017, 0.00 ,18.74
20 10 2017, 175.15 ,19.86
21 10 2017, 68.21 ,20.72
22 10 2017, 0.00 ,20.43
23 10 2017, 369.87 ,30.29
24 10 2017, 9.61 ,17.34
25 10 2017, 28.16 ,17.21
26 10 2017, 0.00 ,17.49
27 10 2017, 0.00 ,15.48
28 10 2017, 153.70 ,24.21
29 10 2017, 0.00 ,14.54
30 10 2017, 0.00 ,18.85
31 10 2017, 0.00 ,15.06
01 11 2017, 0.00 ,11.48
02 11 2017, 0.00 ,12.00
03 11 2017, 0.00 ,15.82
04 11 2017, 101.89 ,21.73
05 11 2017, 0.00 ,11.00
06 11 2017, 2.41 ,21.64
07 11 2017, 767.43 ,24.18
08 11 2017, 4.33 ,18.05
09 11 2017, 1.25 ,17.25
10 11 2017, 60.96 ,20.95
11 11 2017, 70.74 ,26.12
12 11 2017, 0.00 ,21.89
13 11 2017, 732.64 ,25.60
14 11 2017, 7.67 ,22.82
15 11 2017, 349.47 ,24.38
16 11 2017, 56.93 ,24.86
17 11 2017, 178.72 ,19.29
18 11 2017, 14.66 ,24.68
19 11 2017, 5.80 ,19.77
20 11 2017, 0.25 ,12.70
21 11 2017, 0.00 ,11.43
22 11 2017, 0.00 ,12.47
23 11 2017, 0.00 ,17.28
24 11 2017, 5.39 ,14.53
25 11 2017, 0.31 ,15.64
26 11 2017, 53.73 ,23.42
27 11 2017, 0.00 ,12.35
28 11 2017, 32.01 ,11.02
29 11 2017, 0.00 ,11.94
30 11 2017, 24.09 ,27.60
01 12 2017, 0.00 ,27.45
02 12 2017, 0.00 ,19.02
03 12 2017, 10.34 ,14.75
04 12 2017, 0.00 ,13.55
05 12 2017, 1.58 ,10.32
06 12 2017, 0.00 ,10.78
07 12 2017, 0.00 ,9.68
08 12 2017, 0.00 ,11.25
09 12 2017, 0.00 ,10.50
10 12 2017, 0.00 ,7.02
11 12 2017, 0.00 ,15.02
12 12 2017, 0.00 ,17.25
13 12 2017, 0.00 ,17.37
14 12 2017, 22.31 ,13.30
15 12 2017, 0.00 ,20.13
16 12 2017, 21.66 ,19.55
17 12 2017, 139.35 ,16.72
18 12 2017, 0.46 ,11.56
19 12 2017, 0.00 ,7.03
20 12 2017, 0.62 ,7.53
21 12 2017, 0.00 ,7.20
22 12 2017, 0.00 ,4.96
23 12 2017, 0.00 ,7.73
24 12 2017, 0.00 ,13.83
25 12 2017, 0.00 ,14.67
26 12 2017, 0.00 ,14.75
27 12 2017, 0.00 ,16.38
28 12 2017, 123.55 ,22.35
29 12 2017, 16.53 ,11.19
30 12 2017, 39.30 ,12.09
31 12 2017, 0.00 ,12.21
